iter	RMSE
0	1.890750649
1	1.888120773
2	1.885190662
3	1.882108959
4	1.879400631
5	1.875948321
6	1.872776836
7	1.869221166
8	1.865927591
9	1.862772405
10	1.859487533
11	1.856527897
12	1.853534015
13	1.850171485
14	1.846988509
15	1.843720303
16	1.840733098
17	1.83796201
18	1.83477133
19	1.83192211
20	1.828848747
21	1.825564248
22	1.822328708
23	1.819101939
24	1.816346112
25	1.813374133
26	1.810076551
27	1.807105033
28	1.80410836
29	1.801319592
30	1.79801098
31	1.794967464
32	1.7916775
33	1.788884956
34	1.785578064
35	1.782727369
36	1.779466032
37	1.776502243
38	1.773652111
39	1.770676482
40	1.768294921
41	1.765741856
42	1.763366701
43	1.760759194
44	1.757484893
45	1.754473011
46	1.752109941
47	1.748865846
48	1.745928314
49	1.742895078
50	1.740087699
51	1.737540234
52	1.735131433
53	1.73191828
54	1.729352087
55	1.726653334
56	1.724200798
57	1.721284699
58	1.718521157
59	1.71543735
60	1.712873842
61	1.710512968
62	1.7074966
63	1.70476548
64	1.702287858
65	1.699393562
66	1.696875806
67	1.694661318
68	1.692006192
69	1.689643825
70	1.686961133
71	1.684406925
72	1.681864844
73	1.679756981
74	1.677669733
75	1.675270844
76	1.672902255
77	1.670189125
78	1.668179166
79	1.665936502
80	1.663581673
81	1.661005044
82	1.65859985
83	1.656076852
84	1.654305984
85	1.652143438
86	1.64973912
87	1.647291641
88	1.644748308
89	1.641986043
90	1.639813458
91	1.637385733
92	1.635227968
93	1.632694333
94	1.630214431
95	1.627720373
96	1.625109273
97	1.622331495
98	1.6195519
99	1.617351221
100	1.614725754
101	1.612826493
102	1.610476479
103	1.608029865
104	1.605539872
105	1.602982156
106	1.600467419
107	1.598230682
108	1.595974831
109	1.593712215
110	1.591378803
111	1.589292318
112	1.586884
113	1.584616085
114	1.582844466
115	1.580574314
116	1.578023087
117	1.576190288
118	1.57429072
119	1.57234552
120	1.570089414
121	1.568221744
122	1.565800233
123	1.563541483
124	1.56146272
125	1.559469354
126	1.557368234
127	1.554837361
128	1.552497434
129	1.550255242
130	1.548136296
131	1.546069065
132	1.544149997
133	1.542201258
134	1.540060128
135	1.537768314
136	1.535535913
137	1.533816092
138	1.531589863
139	1.530025646
140	1.527887217
141	1.525539271
142	1.523890814
143	1.521880245
144	1.51977766
145	1.517618364
146	1.515500842
147	1.513022693
148	1.510856239
149	1.508952456
150	1.507000665
151	1.504904817
152	1.502981302
153	1.501174834
154	1.499528415
155	1.497430237
156	1.495674483
157	1.493329482
158	1.491625726
159	1.489840576
160	1.488127938
161	1.485950151
162	1.484061273
163	1.482264486
164	1.480326685
165	1.478349174
166	1.47644729
167	1.474722761
168	1.472602707
169	1.471100006
170	1.469425828
171	1.467905131
172	1.465947461
173	1.464189762
174	1.462539061
175	1.460982083
176	1.458973116
177	1.457114191
178	1.455500992
179	1.453630299
180	1.451739455
181	1.449995919
182	1.448079754
183	1.44638154
184	1.444357885
185	1.442756379
186	1.441304865
187	1.439718583
188	1.437799938
189	1.436423232
190	1.434579463
191	1.432942963
192	1.431348556
193	1.429855415
194	1.428364121
195	1.42682229
196	1.424938318
197	1.423360616
198	1.421353296
199	1.420073613
200	1.418454147
201	1.416928649
202	1.415273295
203	1.413409263
204	1.412067801
205	1.410599863
206	1.409110646
207	1.407453309
208	1.406011023
209	1.404130534
210	1.402486566
211	1.400764492
212	1.398986566
213	1.39760255
214	1.396181681
215	1.394853308
216	1.393427772
217	1.391897486
218	1.390572034
219	1.38942752
220	1.387467834
221	1.386123822
222	1.384485789
223	1.383019743
224	1.381893126
225	1.380462187
226	1.379108539
227	1.377396264
228	1.376047128
229	1.374437718
230	1.372863794
231	1.37164163
232	1.370206895
233	1.368877455
234	1.367619723
235	1.366263586
236	1.364927021
237	1.363747441
238	1.362295951
239	1.360527734
240	1.359193759
241	1.357760976
242	1.356353903
243	1.354693712
244	1.353311391
245	1.351613317
246	1.350242118
247	1.348855268
248	1.347668957
249	1.346507865
250	1.345355584
251	1.344234676
252	1.342820409
253	1.341450731
254	1.340105174
255	1.338812761
256	1.337358597
257	1.336205989
258	1.335039987
259	1.333603692
260	1.332112288
261	1.330648315
262	1.329152367
263	1.327879414
264	1.326644354
265	1.325463731
266	1.324118153
267	1.322660113
268	1.321330462
269	1.320097694
270	1.318856631
271	1.317582517
272	1.316351618
273	1.315003842
274	1.313697311
275	1.312255144
276	1.311039662
277	1.309790332
278	1.308659847
279	1.307437798
280	1.306236377
281	1.304979491
282	1.303716277
283	1.302262839
284	1.300927442
285	1.299651864
286	1.298658331
287	1.297498974
288	1.296413455
289	1.295029257
290	1.293922122
291	1.292721153
292	1.291543995
293	1.290266489
294	1.289306497
295	1.287886811
296	1.286635701
297	1.285527337
298	1.284346349
299	1.282931453
300	1.281678401
301	1.28058171
302	1.27937805
303	1.278304773
304	1.277306863
305	1.275880567
306	1.274824215
307	1.273696676
308	1.272484995
309	1.271315555
310	1.270176745
311	1.268985865
312	1.267762413
313	1.266599932
314	1.265525119
315	1.264281197
316	1.263181867
317	1.261970668
318	1.260896023
319	1.260015564
320	1.258783404
321	1.257362449
322	1.256176825
323	1.255150974
324	1.253916096
325	1.252717892
326	1.251728834
327	1.250688656
328	1.249586424
329	1.248477189
330	1.247556649
331	1.246570566
332	1.245599244
333	1.244468116
334	1.243461698
335	1.242278576
336	1.241293371
337	1.240276831
338	1.239139658
339	1.238003516
340	1.237217687
341	1.236360827
342	1.235376031
343	1.234456878
344	1.233691766
345	1.232760981
346	1.231530758
347	1.230355934
348	1.229310144
349	1.228303873
350	1.227242067
351	1.226293431
352	1.225143107
353	1.22435489
354	1.223208486
355	1.222123358
356	1.22107712
357	1.22010947
358	1.219176739
359	1.218235583
360	1.21725593
361	1.216426911
362	1.215666918
363	1.214757159
364	1.213729528
365	1.212868663
366	1.212057024
367	1.211251775
368	1.210231959
369	1.209217901
370	1.208154817
371	1.207149534
372	1.206313342
373	1.205400099
374	1.204402532
375	1.203541425
376	1.202609187
377	1.201643133
378	1.200813337
379	1.199894074
380	1.198963317
381	1.197908105
382	1.196912855
383	1.196145493
384	1.195154372
385	1.194213539
386	1.193336578
387	1.192305773
388	1.191473468
389	1.190599255
390	1.189519495
391	1.188537458
392	1.187614311
393	1.186936481
394	1.186014101
395	1.185065834
396	1.184327084
397	1.183456383
398	1.182448972
399	1.1817407
400	1.180843634
401	1.179912525
402	1.17913526
403	1.177964271
404	1.177142796
405	1.176285802
406	1.175451797
407	1.174500507
408	1.173594789
409	1.172516596
410	1.171637589
411	1.170952707
412	1.170073135
413	1.169364481
414	1.168491559
415	1.167673538
416	1.167003769
417	1.16615989
418	1.165267857
419	1.164380248
420	1.163430079
421	1.162507611
422	1.161757555
423	1.160777356
424	1.160025541
425	1.159202755
426	1.158367055
427	1.15770581
428	1.157019563
429	1.15628957
430	1.155485569
431	1.154752165
432	1.154086966
433	1.153305978
434	1.152631614
435	1.151697005
436	1.150912918
437	1.150078627
438	1.14947454
439	1.148727937
440	1.148011909
441	1.147278819
442	1.146588156
443	1.146004378
444	1.145408743
445	1.144740927
446	1.14393328
447	1.143348257
448	1.142726704
449	1.142079326
450	1.141492197
451	1.140657848
452	1.139989149
453	1.139144789
454	1.138368815
455	1.137459746
456	1.136670215
457	1.136059281
458	1.135432226
459	1.134892705
460	1.134186439
461	1.133524793
462	1.132836058
463	1.131897604
464	1.131360999
465	1.130635597
466	1.12998925
467	1.12933358
468	1.128512869
469	1.128032425
470	1.127282024
471	1.126679993
472	1.125951361
473	1.125286424
474	1.124756727
475	1.123995429
476	1.123371566
477	1.122767916
478	1.122063251
479	1.121431464
480	1.120766667
481	1.120108179
482	1.119470766
483	1.11888724
484	1.118252847
485	1.117531847
486	1.116928353
487	1.116398602
488	1.115785685
489	1.115168964
490	1.114567805
491	1.113962224
492	1.113498514
493	1.112924927
494	1.11224909
495	1.111652563
496	1.111054937
497	1.11054091
498	1.109966046
499	1.109240135
500	1.108652758
501	1.108022874
502	1.107185024
503	1.106672093
504	1.106107321
505	1.10558908
506	1.105172728
507	1.104606646
508	1.104066853
509	1.103486066
510	1.102853842
511	1.102337626
512	1.101680882
513	1.101052184
514	1.100564113
515	1.099958654
516	1.099207619
517	1.098661621
518	1.098159415
519	1.097388866
520	1.096771058
521	1.096342963
522	1.095877527
523	1.095530277
524	1.095033127
525	1.094566001
526	1.093893448
527	1.093108721
528	1.092555906
529	1.092016174
530	1.091527093
531	1.090981549
532	1.090345123
533	1.089888003
534	1.089504483
535	1.088852042
536	1.088313254
537	1.087732363
538	1.087249986
539	1.086747192
540	1.086143925
541	1.085653002
542	1.085140286
543	1.084532495
544	1.083884359
545	1.083300535
546	1.082698397
547	1.082040631
548	1.081452984
549	1.080946526
550	1.080391183
551	1.079839877
552	1.079283492
553	1.078857554
554	1.078339679
555	1.077842556
556	1.077304224
557	1.076756916
558	1.076050424
559	1.075661571
560	1.075169576
561	1.074710157
562	1.074179276
563	1.073609435
564	1.073138217
565	1.072652579
566	1.072187071
567	1.071744763
568	1.071109286
569	1.070525751
570	1.070111854
571	1.069520216
572	1.069077763
573	1.068569346
574	1.06805251
575	1.067559316
576	1.067184832
577	1.06658806
578	1.065960213
579	1.065468653
580	1.065054126
581	1.064693434
582	1.064191363
583	1.063738164
584	1.063421539
585	1.062876849
586	1.062414094
587	1.062081404
588	1.061479389
589	1.061022099
590	1.060453759
591	1.059888683
592	1.059492797
593	1.0589591
594	1.05854794
595	1.05804939
596	1.057597392
597	1.057246641
598	1.05677931
599	1.056333244
600	1.055832114
601	1.055291471
602	1.054817805
603	1.054371794
604	1.0540598
605	1.05373402
606	1.053068564
607	1.052535838
608	1.05202384
609	1.051375904
610	1.050831788
611	1.050449474
612	1.049940306
613	1.049641178
614	1.04914951
615	1.048623653
616	1.048026276
617	1.047559074
618	1.047125196
619	1.046674116
620	1.04623069
621	1.045926792
622	1.045425548
623	1.045072215
624	1.044703416
625	1.044287698
626	1.043770295
627	1.043343157
628	1.042872903
629	1.042469911
630	1.042075812
631	1.04182402
632	1.041389403
633	1.040846909
634	1.040326211
635	1.03992846
636	1.039361489
637	1.038972659
638	1.038409703
639	1.037974037
640	1.03753218
641	1.037111027
642	1.0367064
643	1.036317769
644	1.035897659
645	1.035529432
646	1.035092314
647	1.034661877
648	1.034230738
649	1.033801191
650	1.03343231
651	1.033051445
652	1.032648167
653	1.032206214
654	1.03179547
655	1.031355289
656	1.030843634
657	1.03045438
658	1.030152579
659	1.029654393
660	1.02924067
661	1.028889508
662	1.02846356
663	1.028050034
664	1.027702282
665	1.027341885
666	1.026863122
667	1.02642812
668	1.026011239
669	1.025647661
670	1.025282896
671	1.02493292
672	1.024472234
673	1.024084953
674	1.023601786
675	1.023240791
676	1.02292679
677	1.022608376
678	1.022359227
679	1.022067318
680	1.021798063
681	1.021430882
682	1.020950878
683	1.020527181
684	1.020208775
685	1.019725248
686	1.019388134
687	1.019111373
688	1.018707081
689	1.018282335
690	1.017986286
691	1.017608019
692	1.017304322
693	1.016872171
694	1.016588782
695	1.016158127
696	1.015830935
697	1.0154606
698	1.015100275
699	1.014669579
700	1.014198255
701	1.013839144
702	1.013640838
703	1.013284388
704	1.012934781
705	1.012645252
706	1.012229226
707	1.011828857
708	1.011567939
709	1.011132708
710	1.010807297
711	1.010455677
712	1.010112482
713	1.009768789
714	1.009436757
715	1.009054718
716	1.008718108
717	1.008407301
718	1.008029565
719	1.007702886
720	1.0073061
721	1.006997833
722	1.006443318
723	1.006087609
724	1.005685597
725	1.005349414
726	1.004942509
727	1.004621035
728	1.004295947
729	1.004026187
730	1.003675021
731	1.003357228
732	1.002952397
733	1.002602852
734	1.002391399
735	1.002094505
736	1.001764321
737	1.001339081
738	1.000959314
739	1.00060071
740	1.00020243
741	0.9999643075
742	0.9996708327
743	0.9993712773
744	0.9989547189
745	0.9986523006
746	0.9982054979
747	0.9978539659
748	0.9974960765
749	0.9971512359
750	0.9967397205
751	0.9963760652
752	0.9959148894
753	0.9956020353
754	0.9953967735
755	0.9949910923
756	0.9946324014
757	0.9942520984
758	0.9939021719
759	0.9936083211
760	0.9933176354
761	0.9930811217
762	0.9927982495
763	0.9925434591
764	0.9923056273
765	0.9920622003
766	0.9917533452
767	0.9915488444
768	0.9912258486
769	0.9910314086
770	0.9907028444
771	0.9903358322
772	0.9899811189
773	0.9897578692
774	0.9895337527
775	0.9891867432
776	0.9889801944
777	0.9886734143
778	0.9882968507
779	0.9880389421
780	0.9876543785
781	0.9873384837
782	0.9869174539
783	0.9866844584
784	0.9862885172
785	0.986015302
786	0.9857410687
787	0.9854537642
788	0.9850861036
789	0.9846817858
790	0.984354831
791	0.9839096
792	0.9836711598
793	0.983387845
794	0.9831859771
795	0.9828247804
796	0.9825737787
797	0.9822399879
798	0.9819505388
799	0.9816721491
800	0.9813730677
801	0.9810829761
802	0.9807684638
803	0.9804307322
804	0.9802185728
805	0.9798901963
806	0.9795715526
807	0.9792558676
808	0.9790206883
809	0.9787510071
810	0.9784781085
811	0.9782921917
812	0.9779832307
813	0.9775560441
814	0.9771699245
815	0.9770024606
816	0.9767393319
817	0.9763616461
818	0.9760850576
819	0.9757851528
820	0.9754694514
821	0.9752704
822	0.9749757542
823	0.974675721
824	0.9744075864
825	0.9741354654
826	0.9738826648
827	0.9734108117
828	0.9731349121
829	0.9729033089
830	0.9726389335
831	0.9723793101
832	0.9721709838
833	0.9719253929
834	0.9716758184
835	0.971479558
836	0.9712079983
837	0.9707808297
838	0.9704650904
839	0.9701275966
840	0.9699846309
841	0.9697838766
842	0.9694800632
843	0.9691320168
844	0.9689222969
845	0.9687172529
846	0.9684716014
847	0.9682460349
848	0.9679748393
849	0.9677571573
850	0.9675779888
851	0.9673667266
852	0.9670941147
853	0.9668794216
854	0.966677353
855	0.9663126472
856	0.9660347612
857	0.9656362955
858	0.9653986111
859	0.9650927457
860	0.9647609546
861	0.9644908503
862	0.9642116324
863	0.9639547807
864	0.963639662
865	0.9633755909
866	0.9630135601
867	0.9627719321
868	0.962590233
869	0.9623851309
870	0.9620864816
871	0.9618124863
872	0.9615836599
873	0.9612048271
874	0.9610730256
875	0.9607036895
876	0.9604804719
877	0.9600795352
878	0.9598330741
879	0.9596451799
880	0.9593409238
881	0.9589431091
882	0.9586494097
883	0.958461828
884	0.9582382299
885	0.9579772546
886	0.9577908722
887	0.9575978446
888	0.9573079223
889	0.9571610767
890	0.9570102219
891	0.956824703
892	0.9565061682
893	0.9562581142
894	0.9559960645
895	0.9557960808
896	0.9555115368
897	0.9553427113
898	0.9551110739
899	0.9549374863
900	0.954695007
901	0.9544351782
902	0.9541718418
903	0.9540046659
904	0.9538078951
905	0.953622149
906	0.9534154389
