iter	Passed	Remaining
0	1	3243
1	2	2805
2	4	2814
3	5	2680
4	6	2647
5	7	2624
6	9	2599
7	10	2574
8	11	2558
9	12	2566
10	14	2582
11	15	2605
12	16	2590
13	18	2583
14	19	2554
15	20	2568
16	22	2572
17	23	2581
18	24	2571
19	25	2568
20	27	2559
21	28	2540
22	29	2539
23	30	2530
24	31	2527
25	33	2521
26	34	2520
27	35	2519
28	36	2509
29	38	2504
30	39	2502
31	40	2499
32	41	2494
33	43	2489
34	44	2481
35	45	2473
36	46	2464
37	47	2459
38	48	2454
39	49	2445
40	51	2440
41	52	2444
42	53	2443
43	54	2442
44	56	2448
45	57	2446
46	58	2449
47	60	2451
48	61	2457
49	62	2454
50	64	2449
51	65	2447
52	66	2445
53	67	2443
54	69	2442
55	70	2441
56	71	2435
57	72	2431
58	73	2428
59	74	2423
60	76	2417
61	77	2414
62	78	2411
63	79	2407
64	80	2405
65	82	2403
66	83	2400
67	84	2398
68	85	2395
69	86	2392
70	87	2390
71	89	2388
72	90	2385
73	91	2382
74	92	2379
75	93	2377
76	95	2374
77	96	2373
78	97	2373
79	98	2369
80	99	2365
81	100	2361
82	102	2359
83	103	2357
84	104	2356
85	105	2354
86	107	2354
87	108	2352
88	109	2350
89	110	2347
90	111	2346
91	113	2346
92	114	2343
93	115	2341
94	116	2338
95	117	2335
96	118	2332
97	120	2332
98	121	2331
99	122	2331
100	123	2328
101	125	2327
102	126	2324
103	127	2325
104	128	2325
105	130	2326
106	131	2326
107	132	2328
108	134	2325
109	135	2322
110	136	2320
111	137	2318
112	138	2315
113	139	2315
114	141	2313
115	142	2312
116	143	2311
117	144	2308
118	145	2306
119	147	2303
120	148	2300
121	149	2297
122	150	2295
123	151	2294
124	152	2292
125	153	2289
126	155	2286
127	156	2284
128	157	2282
129	158	2280
130	159	2279
131	161	2278
132	162	2276
133	163	2275
134	164	2273
135	165	2271
136	166	2269
137	168	2269
138	169	2268
139	170	2267
140	171	2264
141	172	2262
142	174	2260
143	175	2259
144	176	2259
145	177	2257
146	178	2254
147	180	2252
148	181	2250
149	182	2248
150	183	2246
151	184	2245
152	185	2243
153	186	2240
154	188	2240
155	189	2241
156	191	2243
157	192	2245
158	193	2243
159	194	2241
160	196	2239
161	197	2237
162	198	2236
163	199	2234
164	200	2234
165	202	2232
166	203	2231
167	204	2229
168	205	2228
169	206	2226
170	208	2225
171	209	2223
172	210	2222
173	211	2220
174	212	2218
175	213	2216
176	215	2214
177	216	2214
178	217	2212
179	218	2211
180	220	2210
181	221	2209
182	222	2209
183	223	2207
184	225	2207
185	226	2205
186	227	2203
187	228	2201
188	229	2199
189	230	2198
190	231	2196
191	233	2198
192	234	2196
193	235	2194
194	236	2192
195	238	2190
196	239	2189
197	240	2188
198	241	2186
199	242	2184
200	243	2182
201	245	2181
202	246	2180
203	247	2178
204	248	2177
205	249	2175
206	251	2174
207	252	2173
208	253	2171
209	254	2169
210	255	2168
211	257	2167
212	258	2167
213	259	2167
214	260	2166
215	262	2165
216	263	2164
217	264	2163
218	265	2162
219	267	2160
220	268	2159
221	269	2157
222	270	2156
223	271	2155
224	273	2154
225	274	2153
226	275	2151
227	276	2150
228	277	2148
229	279	2147
230	280	2146
231	281	2145
232	282	2143
233	283	2142
234	285	2140
235	286	2139
236	287	2137
237	288	2135
238	289	2134
239	290	2133
240	291	2130
241	293	2129
242	294	2127
243	295	2127
244	297	2127
245	298	2126
246	299	2125
247	300	2124
248	301	2123
249	303	2121
250	304	2120
251	305	2119
252	306	2117
253	307	2115
254	309	2115
255	310	2113
256	311	2112
257	312	2110
258	313	2108
259	314	2106
260	316	2105
261	317	2103
262	318	2103
263	319	2101
264	320	2100
265	322	2099
266	323	2097
267	324	2096
268	325	2095
269	326	2093
270	327	2092
271	329	2090
272	330	2089
273	331	2088
274	332	2087
275	334	2086
276	335	2085
277	336	2084
278	337	2084
279	339	2083
280	340	2082
281	341	2081
282	342	2080
283	344	2080
284	345	2078
285	346	2078
286	348	2077
287	349	2076
288	350	2076
289	352	2075
290	353	2074
291	354	2074
292	355	2073
293	357	2071
294	358	2069
295	359	2069
296	360	2069
297	362	2069
298	363	2067
299	364	2066
300	365	2064
301	366	2063
302	368	2063
303	369	2063
304	371	2062
305	372	2061
306	373	2060
307	374	2058
308	375	2056
309	377	2056
310	378	2054
311	379	2053
312	380	2052
313	381	2050
314	383	2050
315	384	2049
316	386	2050
317	387	2050
318	388	2049
319	390	2048
320	391	2048
321	393	2048
322	394	2046
323	395	2045
324	396	2044
325	397	2042
326	399	2042
327	400	2041
328	401	2041
329	403	2040
330	404	2039
331	405	2038
332	406	2037
333	408	2036
334	409	2036
335	410	2035
336	412	2034
337	413	2034
338	414	2031
339	415	2030
340	417	2029
341	418	2027
342	419	2027
343	420	2026
344	421	2024
345	423	2022
346	424	2021
347	425	2020
348	426	2019
349	428	2017
350	429	2016
351	430	2015
352	431	2014
353	433	2014
354	434	2013
355	435	2013
356	437	2012
357	438	2011
358	439	2009
359	441	2009
360	442	2008
361	443	2007
362	444	2005
363	446	2004
364	447	2003
365	448	2002
366	449	2001
367	451	2000
368	452	1998
369	453	1998
370	454	1996
371	456	1995
372	457	1994
373	458	1993
374	459	1992
375	461	1991
376	462	1990
377	463	1989
378	464	1988
379	466	1986
380	467	1986
381	468	1985
382	470	1984
383	471	1983
384	472	1981
385	473	1980
386	474	1979
387	476	1977
388	477	1976
389	478	1976
390	480	1975
391	481	1974
392	482	1973
393	483	1972
394	485	1971
395	486	1970
396	487	1970
397	489	1969
398	490	1968
399	491	1966
400	493	1966
401	494	1965
402	495	1964
403	496	1963
404	498	1962
405	499	1961
406	500	1959
407	501	1958
408	503	1958
409	504	1957
410	506	1957
411	507	1956
412	508	1955
413	510	1954
414	511	1952
415	512	1951
416	513	1950
417	515	1949
418	516	1948
419	517	1947
420	518	1946
421	520	1945
422	521	1943
423	522	1942
424	523	1941
425	524	1939
426	526	1938
427	527	1936
428	528	1936
429	530	1935
430	531	1934
431	532	1933
432	534	1932
433	535	1931
434	536	1930
435	537	1929
436	539	1928
437	540	1926
438	541	1925
439	542	1924
440	544	1923
441	545	1922
442	546	1921
443	547	1920
444	549	1919
445	550	1918
446	551	1916
447	552	1915
448	554	1914
449	555	1913
450	556	1912
451	558	1911
452	559	1910
453	560	1908
454	561	1907
455	563	1906
456	564	1905
457	565	1904
458	566	1903
459	567	1901
460	569	1899
461	570	1898
462	571	1896
463	572	1895
464	573	1893
465	574	1891
466	575	1890
467	577	1889
468	578	1888
